time	City	State
1348337507	Wheeling	AZ
1293937139	Connellsville	CO
1340708129	Scarborough	AZ
1350447546	Port Jervis	Indiana
1341094754	Farmer City	AK
1323092985	Jamestown	Alaska
1349783417	Terre Haute	CT
1303743421	Fontana	Arkansas
1309888803	Dalton	Nevada
1316883582	Pomona	HI
1343925862	Bridgeport	NY
1298200912	Plano	Iowa
1321500381	Meriden	DE
1290752548	Dalton	Kentucky
1328021234	San Diego	Virginia
1331270862	Birmingham	Louisiana
1321141192	Boston	OK
1361078145	Montebello	KS
1295792773	Columbus	Missouri
1324497259	Sunnyvale	VT
1322571856	Caguas	MD
1294094835	Danbury	MI
1320195075	Corry	CA
1325196828	Gardner	NJ
1353777217	Guayanilla	HI
1341052969	Dover	NM
1309351563	Malden	Kansas
1362161250	Waltham	Tennessee
1271095445	East St. Louis	Maryland
1325163738	Wheaton	MS
1326396576	Columbia	Minnesota
1360623479	Alexandria	Washington
1342639440	Hackensack	Iowa
1281901109	Raleigh	Alaska
1333960561	Battle Creek	North Carolina
1349433856	Milwaukee	AK
1306827953	Pittsfield	IN
1359824328	Fort Lauderdale	TN
1363465626	Georgetown	Alabama
1323747939	Grand Rapids	OK
1342581085	Brookings	IA
1284343885	Weirton	CO
1362585835	Pembroke Pines	Alabama
1294384980	Derby	AK
1307168734	Marietta	New Jersey
1292767091	Cape May	KS
1276049543	Rancho Palos Verdes	SD
1286467382	Fairfax	South Carolina
1282069308	McAllen	Idaho
1286469359	Kearney	MO
1361524414	Boulder	ME
1293972305	Moorhead	Illinois
1300928775	Sioux Falls	West Virginia
1362989672	Fort Dodge	Michigan
1357787944	New Rochelle	Connecticut
1325304257	Rye	Iowa
1293215100	Anaconda	SD
1337882566	Thibodaux	NJ
1299527486	Seal Beach	KS
1358911838	La Cañada Flintridge	Montana
1303743217	Kankakee	IL
1355391869	Rockford	RI
1359602958	West Jordan	Indiana
1356216909	Seaford	Alaska
1352202386	Canton	IA
1306955978	Charleston	Alabama
1322924692	Thomasville	ME
1306411602	Tulsa	NY
1271245004	Hartford	California
1273014190	New York	MO
1316371833	Saint Joseph	Iowa
1334001652	Helena	Michigan
1360969250	College Station	NE
1273991397	North Pole	Iowa
1296454193	Suffolk	Vermont
1309990683	Monterey Park	CT
1350946920	Kemmerer	CA
1324466069	Belpre	NC
1352752240	Hermosa Beach	Michigan
1359032024	Fernley	IN
1344108337	Newburyport	SD
1363060703	Greensboro	SD
1333513744	Santa Cruz	WY
1349160505	Darlington	KY
1321066049	Gaithersburg	Oregon
1354623682	Aguadilla	Idaho
1352069997	Gettysburg	DE
1273683335	Monterey	CO
1337422510	Downey	MS
1340998200	Auburn	SD
1343487448	Wheaton	Idaho
1272501352	Vincennes	Texas
1355471443	Yakima	NC
1356031198	Westlake Village	ME
1303266344	Moultrie	Washington
1340550983	Whittier	Maine
1325969850	West Allis	SD
1302541013	Calumet City	Texas
1357837536	Juneau	IN
1355416751	Odessa	NM
